výsledek pro soubor txt	porvní sloupec zdroje			kdo, komu	kdy	řádek	číslo zprávy	sestava	další sloupce zdrojů – texty
[1 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  SIMONA ( | Zpráva #5 | ~1500 znaků | 2026-01-25 20:40)[1 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  SIMONA ( | Zpráva #5 | ~1500 znaků | 2026-01-25 20:40)	[1 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	1	1	[1 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  SIMONA ( | Zpráva #5 | ~1500 znaků | 2026-01-25 20:40)	 SIMONA ( | Zpráva #5 | ~1500 znaků | 2026-01-25 20:40)
[2 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Pardon, moje interní hodiny byly asi nastavené na nějakou "budoucnost" nebo jinou časovou zónu. Díky za korekci, je 25. ledna, půl deváté večer.")"[2 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Pardon, moje interní hodiny byly asi nastavené na nějakou "budoucnost" nebo jinou časovou zónu. Díky za korekci, je 25. ledna, půl deváté večer.")"	[2 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	2	1	[2 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Pardon, moje interní hodiny byly asi nastavené na nějakou "budoucnost" nebo jinou časovou zónu. Díky za korekci, je 25. ledna, půl deváté večer.")"	 Pardon, moje interní hodiny byly asi nastavené na nějakou "budoucnost" nebo jinou časovou zónu. Díky za korekci, je 25. ledna, půl deváté večer.")"
	[3 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	3	1	[3 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Co to znamená:)	 Co to znamená:)
	[4 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	4	1	[4 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Máme ještě čas! Noc je mladá (tma je už dlouho, ale do spaní daleko). "ff" tedy nebyl konec, ale možná jen překlep při snaze napsat něco jiného.")"	 Máme ještě čas! Noc je mladá (tma je už dlouho, ale do spaní daleko). "ff" tedy nebyl konec, ale možná jen překlep při snaze napsat něco jiného.")"
	[5 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	5	1	[5 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Znamená to, že můžeme pokračovat.)	 Znamená to, že můžeme pokračovat.)
	[6 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	6	1	[6 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Když máme ruský text a obálku (kterou asi budeš chtít upravit), a víme, že Boosty/Wise visí na mikro-platbě, co chceš řešit teď?)	 Když máme ruský text a obálku (kterou asi budeš chtít upravit), a víme, že Boosty/Wise visí na mikro-platbě, co chceš řešit teď?)
	[7 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	7	1	[7 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Máme v záloze dvě témata, která jsi zmínil a zatím jsme se jich nedotkli:)	 Máme v záloze dvě témata, která jsi zmínil a zatím jsme se jich nedotkli:)
	[8 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	8	1	[8 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Kniha o Mimozemšťanech (máš ji hotovou v češtině).)	 Kniha o Mimozemšťanech (máš ji hotovou v češtině).)
	[9 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	9	1	[9 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Kniha o Kopném právu (překlad ze starorusínštiny).)	 Kniha o Kopném právu (překlad ze starorusínštiny).)
	[10 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1	SOFIE.AI:ALEŠ	2026.02.18 00:00:00	10	1	[10 SOFIE.AI:ALEŠ 2026.02.18 00:00:00 #1]  Nebo chceš vyřešit tu ruskou obálku pro knihu o bylinách, aby byla zítra připravená na upload? (Stačí mi poslat ten obrázek a já ti řeknu, co tam napsat azbukou, nebo ti vygeneruji návrh, pokud to můj systém dovolí).)	 Nebo chceš vyřešit tu ruskou obálku pro knihu o bylinách, aby byla zítra připravená na upload? (Stačí mi poslat ten obrázek a já ti řeknu, co tam napsat azbukou, nebo ti vygeneruji návrh, pokud to můj systém dovolí).)
